RuizUnai;Unai;Ruiz;40;01;PT;Ariz
MartinezIker;Iker;Martinez;27;02;LD;Ariz
LopezJon;Jon;Lopez;34;03;DF;Ariz
FernandezAnder;Ander;Fernandez;24;04;LI;Ariz
PerezAsier;Asier;Perez;31;05;DF;Ariz
GomezAitor;Aitor;Gomez;22;06;MD;Ariz
SanchezEneko;Eneko;Sanchez;28;07;ED;Ariz
DiazBeñat;Beñat;Diaz;36;08;MO;Ariz
MorenoMarkel;Markel;Moreno;19;09;DC;Ariz
MuñozJulen;Julen;Muñoz;32;10;MO;Ariz
AlvarezXabi;Xabi;Alvarez;26;11;EI;Ariz
RomeroIñaki;Iñaki;Romero;35;12;DF;Ariz
NavarroPeio;Peio;Navarro;23;13;PT;Ariz
TorresGaizka;Gaizka;Torres;29;14;MD;Ariz
DominguezAlex;Alex;Dominguez;37;15;DF;Ariz
VazquezMikel;Mikel;Vazquez;21;16;EI;Ariz
RamosAdrian;Adrian;Ramos;30;17;ED;Ariz
GilPablo;Pablo;Gil;25;18;MD;Ariz
SerranoSergio;Sergio;Serrano;33;19;DF;Ariz
BlancoDavid;David;Blanco;18;20;DC;Ariz
CastroOscar;Oscar;Castro;39;21;PT;Ariz
MolinaDani;Dani;Molina;27;22;LD;Ariz
OrtegaAnder;Ander;Ortega;34;23;LI;Ariz
CruzUnai;Unai;Cruz;24;24;MD;Ariz
IglesiasIker;Iker;Iglesias;31;25;DC;Ariz
