EchevarriaUnai;Unai;Echevarria;21;01;PT;Baskonia
AranaIker;Iker;Arana;30;02;LD;Baskonia
BilbaoJon;Jon;Bilbao;25;03;DF;Baskonia
LasaAnder;Ander;Lasa;33;04;DF;Baskonia
ZuluagaAsier;Asier;Zuluaga;18;05;LI;Baskonia
ArosteguiAitor;Aitor;Arostegui;39;06;DF;Baskonia
AltunaEneko;Eneko;Altuna;27;07;ED;Baskonia
IriondoBeñat;Beñat;Iriondo;34;08;MD;Baskonia
LarreaMarkel;Markel;Larrea;24;09;DC;Baskonia
EgurenJulen;Julen;Eguren;31;10;MO;Baskonia
ZabalaXabi;Xabi;Zabala;22;11;EI;Baskonia
ArregiIñaki;Iñaki;Arregi;28;12;LD;Baskonia
MuruaPeio;Peio;Murua;36;13;PT;Baskonia
MendizabalGaizka;Gaizka;Mendizabal;20;14;MD;Baskonia
IturraldeAlex;Alex;Iturralde;32;15;DF;Baskonia
OlaizolaMikel;Mikel;Olaizola;26;16;LI;Baskonia
GurrutxagaAdrian;Adrian;Gurrutxaga;35;17;MO;Baskonia
AramburuPablo;Pablo;Aramburu;23;18;EI;Baskonia
LertxundiSergio;Sergio;Lertxundi;29;19;ED;Baskonia
UgaldeDavid;David;Ugalde;38;20;DF;Baskonia
EtxarriOscar;Oscar;Etxarri;21;21;DC;Baskonia
IzagirreDani;Dani;Izagirre;30;22;MD;Baskonia
ZubiaAnder;Ander;Zubia;25;23;LI;Baskonia
AldazabalUnai;Unai;Aldazabal;33;24;DF;Baskonia
KortazarIker;Iker;Kortazar;18;25;DC;Baskonia
