AguirreUnai;Unai;Aguirre;22;01;DC;Umore Ona
SalazarIker;Iker;Salazar;28;02;EI;Umore Ona
UrrutiaJon;Jon;Urrutia;36;03;MO;Umore Ona
ArrietaAnder;Ander;Arrieta;20;04;ED;Umore Ona
MadariagaAsier;Asier;Madariaga;32;05;MD;Umore Ona
OtsoaAitor;Aitor;Otsoa;26;06;LI;Umore Ona
ZubizarretaEneko;Eneko;Zubizarreta;35;07;LD;Umore Ona
MendezBeñat;Beñat;Mendez;23;08;DF;Umore Ona
RivasMarkel;Markel;Rivas;29;09;MO;Umore Ona
SolaJulen;Julen;Sola;38;10;PT;Umore Ona
NuñezXabi;Xabi;Nuñez;21;11;LI;Umore Ona
OrtizIñaki;Iñaki;Ortiz;30;12;DF;Umore Ona
RomanPeio;Peio;Roman;25;13;ED;Umore Ona
CanoGaizka;Gaizka;Cano;33;14;MD;Umore Ona
PrietoAlex;Alex;Prieto;18;15;MO;Umore Ona
VelascoMikel;Mikel;Velasco;30;16;DF;Umore Ona
FuentesAdrian;Adrian;Fuentes;27;17;DC;Umore Ona
NietoPablo;Pablo;Nieto;34;18;MO;Umore Ona
ReySergio;Sergio;Rey;24;19;LI;Umore Ona
LozanoDavid;David;Lozano;31;20;LD;Umore Ona
BravoOscar;Oscar;Bravo;22;21;DF;Umore Ona
CalvoDani;Dani;Calvo;28;22;MD;Umore Ona
SotoAnder;Ander;Soto;36;23;DC;Umore Ona
LeonUnai;Unai;Leon;20;24;ED;Umore Ona
PardoIker;Iker;Pardo;32;25;PT;Umore Ona
