EstebanÍñigo;Esteban;Íñigo;24;07;DF;Moraza
BenitoAritz;Benito;Aritz;31;14;MD;Moraza
BilbaoAimar;Bilbao;Aimar;22;20;EI;Moraza
TorresUnai;Torres;Unai;28;01;DC;Moraza
AlonsoIker;Alonso;Iker;40;02;PT;Moraza
VegaJon;Vega;Jon;19;03;ED;Moraza
CrespoAnder;Crespo;Ander;34;04;LI;Moraza
GilAsier;Gil;Asier;26;05;MD;Moraza
MolinaAitor;Molina;Aitor;29;06;DF;Moraza
RubioEneko;Rubio;Eneko;37;08;DC;Moraza
SuarezBeñat;Suarez;Beñat;21;09;LD;Moraza
LeonMarkel;Leon;Markel;33;10;MO;Moraza
IglesiasJulen;Iglesias;Julen;25;11;DF;Moraza
PardoXabi;Pardo;Xabi;30;12;MD;Moraza
RamosIñaki;Ramos;Iñaki;18;13;ED;Moraza
HerreroPeio;Herrero;Peio;36;15;LI;Moraza
BravoGaizka;Bravo;Gaizka;24;16;DF;Moraza
CalvoAlex;Calvo;Alex;27;17;MD;Moraza
SotoMikel;Soto;Mikel;32;18;MO;Moraza
FuentesAdrián;Fuentes;Adrián;39;19;DC;Moraza
OrtizPeio;Ortiz;Peio;22;21;LD;Moraza
FuentesAitzol;Fuentes;Aitzol;28;22;MD;Moraza
ReyAlex;Rey;Alex;35;23;LI;Moraza
NavarroIker;Navarro;Iker;20;24;PT;Moraza
LozanoDani;Lozano;Dani;31;25;ED;Moraza
