GarciaOier;Oier;Garcia;26;04;DF;Santutxu
IbáñezPablo;Pablo;Ibáñez;34;18;ED;Santutxu
PerezJon;Jon;Perez;23;25;MO;Santutxu
VarelaUnai;Unai;Varela;29;01;MD;Santutxu
MerinoIker;Iker;Merino;38;02;PT;Santutxu
SierraJon;Jon;Sierra;21;03;LI;Santutxu
BlancoAnder;Ander;Blanco;30;05;LD;Santutxu
MarcosAsier;Asier;Marcos;25;06;EI;Santutxu
RoldanAitor;Aitor;Roldan;33;07;DC;Santutxu
CamposEneko;Eneko;Campos;18;08;DF;Santutxu
VidalBeñat;Beñat;Vidal;40;09;PT;Santutxu
PastorMarkel;Markel;Pastor;27;10;MO;Santutxu
LuqueJulen;Julen;Luque;36;11;DC;Santutxu
GalanXabi;Xabi;Galan;24;12;MD;Santutxu
CanoIñaki;Iñaki;Cano;31;13;DF;Santutxu
MoraPeio;Peio;Mora;22;14;LI;Santutxu
OrdoñezGaizka;Gaizka;Ordoñez;28;15;LD;Santutxu
PlazaAlex;Alex;Plaza;34;16;EI;Santutxu
ValeroMikel;Mikel;Valero;19;17;MO;Santutxu
HidalgoAdrian;Adrian;Hidalgo;32;19;DF;Santutxu
SantosPablo;Pablo;Santos;26;20;MD;Santutxu
CabreraSergio;Sergio;Cabrera;35;21;DC;Santutxu
DuranDavid;David;Duran;23;22;DF;Santutxu
SolerOscar;Oscar;Soler;29;23;LI;Santutxu
MirandaDani;Dani;Miranda;37;24;LD;Santutxu
